Date,Time,Current  (A),Voltage  (mV),     P = I* V
04-01-22,4:04:25,2.7,6.08,16.416
04-01-22,4:04:29,2.74,6.24,17.0976
04-01-22,4:04:32,2.88,6.02,17.3376
04-01-22,4:04:36,3.01,6.16,18.5416
04-01-22,4:04:39,3.01,6.16,18.5416
04-01-22,4:04:43,2.73,6.02,16.4346
04-01-22,4:04:46,2.79,6.04,16.8516
04-01-22,4:04:50,3.15,5.85,18.4275
04-01-22,4:04:53,3.03,5.85,17.7255
04-01-22,4:04:57,3.05,6.05,18.4525
04-01-22,4:05:00,2.68,5.89,15.7852
04-01-22,4:05:04,2.88,5.86,16.8768
04-01-22,4:05:07,2.74,6.23,17.0702
04-01-22,4:05:11,3.05,6.14,18.727
04-01-22,4:05:15,2.97,5.79,17.1963
04-01-22,4:05:18,2.71,6.23,16.8833
04-01-22,4:05:22,2.84,5.93,16.8412
04-01-22,4:05:25,2.84,5.78,16.4152
04-01-22,4:05:29,2.71,6.07,16.4497
04-01-22,4:05:32,2.79,5.84,16.2936
04-01-22,4:05:36,3.08,6.18,19.0344
04-01-22,4:05:39,3,6.23,18.69
04-01-22,4:05:43,3.16,5.9,18.644
04-01-22,4:05:46,2.85,5.85,16.6725
04-01-22,4:05:50,2.88,6.01,17.3088
04-01-22,4:05:54,2.74,5.96,16.3304
04-01-22,4:05:57,2.85,5.99,17.0715
04-01-22,4:06:01,2.92,5.84,17.0528
04-01-22,4:06:05,2.92,5.98,17.4616
04-01-22,4:06:08,3,5.8,17.4
04-01-22,4:06:12,2.76,6.06,16.7256
04-01-22,4:06:15,2.79,6.14,17.1306
04-01-22,4:06:19,2.74,6.04,16.5496
04-01-22,4:06:23,3.01,5.92,17.8192
04-01-22,4:06:27,2.77,6.23,17.2571
04-01-22,4:06:30,2.89,5.91,17.0799
04-01-22,4:06:34,2.84,5.91,16.7844
04-01-22,4:06:37,2.89,6.21,17.9469
04-01-22,4:06:41,2.81,6.13,17.2253
04-01-22,4:06:44,2.77,6.12,16.9524
04-01-22,4:06:49,2.7,6.02,16.254
04-01-22,4:06:53,3.09,5.98,18.4782
04-01-22,4:06:56,2.77,6.05,16.7585
04-01-22,4:07:00,3.15,6.07,19.1205
04-01-22,4:07:04,3.01,6.23,18.7523
04-01-22,4:07:07,3.09,5.9,18.231
04-01-22,4:07:11,2.85,6.02,17.157
04-01-22,4:07:15,3,5.77,17.31
04-01-22,4:07:19,2.84,5.84,16.5856
04-01-22,4:07:22,2.92,5.88,17.1696
04-01-22,4:07:26,2.72,6.1,16.592
04-01-22,4:07:29,2.77,5.89,16.3153
04-01-22,4:07:33,3.12,6.17,19.2504
04-01-22,4:07:36,3.06,5.82,17.8092
04-01-22,4:07:40,3.08,5.9,18.172
04-01-22,4:07:44,2.76,5.94,16.3944
04-01-22,4:07:47,3.15,6.13,19.3095
04-01-22,4:07:51,3.11,5.95,18.5045
04-01-22,4:07:54,2.67,5.95,15.8865
04-01-22,4:07:58,2.94,6.15,18.081
04-01-22,4:08:02,2.8,6.04,16.912
04-01-22,4:08:06,2.81,5.89,16.5509
04-01-22,4:08:09,2.83,5.85,16.5555
04-01-22,4:08:13,2.92,6.09,17.7828
04-01-22,4:08:17,2.68,5.87,15.7316
04-01-22,4:08:20,3.1,6.24,19.344
04-01-22,4:08:23,2.69,6.03,16.2207
04-01-22,4:08:27,3.07,6.11,18.7577
04-01-22,4:08:31,2.8,6.02,16.856
04-01-22,4:08:35,2.96,6.01,17.7896
04-01-22,4:08:38,2.78,6.24,17.3472
04-01-22,4:08:42,2.77,6.25,17.3125
04-01-22,4:08:45,3.03,5.84,17.6952
04-01-22,4:08:49,2.7,6.05,16.335
04-01-22,4:08:52,2.92,5.98,17.4616
04-01-22,4:08:56,2.89,6.24,18.0336
04-01-22,4:08:59,2.99,5.99,17.9101
04-01-22,4:09:03,2.85,5.95,16.9575
04-01-22,4:09:07,3.01,6.15,18.5115
04-01-22,4:09:10,2.95,6.2,18.29
04-01-22,4:09:14,3.03,5.82,17.6346
04-01-22,4:09:17,3.02,6.06,18.3012
04-01-22,4:09:21,2.82,5.97,16.8354
04-01-22,4:09:24,2.88,6.24,17.9712
04-01-22,4:09:28,2.78,6.02,16.7356
04-01-22,4:09:31,2.9,6.21,18.009
04-01-22,4:09:35,2.78,5.82,16.1796
04-01-22,4:09:38,2.86,6.21,17.7606
04-01-22,4:09:42,2.76,6.2,17.112
04-01-22,4:09:45,2.66,6.2,16.492
04-01-22,4:09:49,3.01,5.82,17.5182
04-01-22,4:09:53,2.99,6.22,18.5978
04-01-22,4:09:57,3.07,6.08,18.6656
04-01-22,4:10:00,3,6.06,18.18
04-01-22,4:10:04,3.1,5.98,18.538
04-01-22,4:10:07,2.65,6.12,16.218
04-01-22,4:10:11,2.71,5.87,15.9077
04-01-22,4:10:14,3.04,5.94,18.0576
04-01-22,4:10:18,2.72,6.15,16.728
04-01-22,4:10:21,2.91,6.05,17.6055
04-01-22,4:10:25,2.97,5.9,17.523
04-01-22,4:10:29,2.84,5.79,16.4436
04-01-22,4:10:33,3.07,6.24,19.1568
04-01-22,4:10:36,3.07,5.9,18.113
04-01-22,4:10:40,2.74,5.85,16.029
04-01-22,4:10:44,3.15,6.05,19.0575
04-01-22,4:10:47,2.68,6.02,16.1336
04-01-22,4:10:51,3.07,5.96,18.2972
04-01-22,4:10:54,2.76,5.87,16.2012
04-01-22,4:10:58,2.73,5.99,16.3527
04-01-22,4:11:01,2.99,6.01,17.9699
04-01-22,4:11:05,3.02,5.88,17.7576
04-01-22,4:11:08,2.86,5.99,17.1314
04-01-22,4:11:11,2.73,6.22,16.9806
04-01-22,4:11:15,2.78,5.93,16.4854
04-01-22,4:11:19,2.78,6.21,17.2638
04-01-22,4:11:22,2.72,5.8,15.776
04-01-22,4:11:26,2.71,6.16,16.6936
04-01-22,4:11:29,3.02,5.99,18.0898
04-01-22,4:11:33,3.05,6.2,18.91
04-01-22,4:11:36,3.05,5.84,17.812
04-01-22,4:11:40,2.95,5.93,17.4935
04-01-22,4:11:43,2.72,6.17,16.7824
04-01-22,4:11:46,3.03,6.11,18.5133
04-01-22,4:11:50,3.01,5.92,17.8192
04-01-22,4:11:54,3.17,6.11,19.3687
04-01-22,4:11:57,2.73,5.96,16.2708
04-01-22,4:12:01,2.98,6.12,18.2376
04-01-22,4:12:04,2.87,6.16,17.6792
04-01-22,4:12:08,2.87,6,17.22
04-01-22,4:12:11,3.16,6.2,19.592
04-01-22,4:12:14,2.99,6,17.94
04-01-22,4:12:18,2.71,5.99,16.2329
04-01-22,4:12:22,2.95,6.17,18.2015
